Active,Confirmed,Country/Region,Date,Deaths,Lat,Long,Province/State,Recovered,WHO Region
0,254,China,2020-04-26,2,23.8298,108.7881,Guangxi,252,Western Pacific
0,147,China,2020-04-26,2,26.8154,106.8748,Guizhou,145,Western Pacific
0,168,China,2020-04-26,6,19.1959,109.7453,Hainan,162,Western Pacific
322,328,China,2020-04-26,6,39.549,116.1306,Hebei,0,Western Pacific
367,936,China,2020-04-26,13,47.861999999999995,127.7615,Heilongjiang,556,Western Pacific
1254,1276,China,2020-04-26,22,37.8957,114.9042,Henan,0,Western Pacific
261,1037,China,2020-04-26,4,22.3,114.2,Hong Kong,772,Western Pacific
0,68128,China,2020-04-26,4512,30.9756,112.2707,Hubei,63616,Western Pacific
0,1019,China,2020-04-26,4,27.6104,111.7088,Hunan,1015,Western Pacific
68,198,China,2020-04-26,1,44.0935,113.9448,Inner Mongolia,129,Western Pacific
7,653,China,2020-04-26,0,32.9711,119.455,Jiangsu,646,Western Pacific
0,937,China,2020-04-26,1,27.614,115.7221,Jiangxi,936,Western Pacific
10,110,China,2020-04-26,1,43.6661,126.1923,Jilin,99,Western Pacific
1,146,China,2020-04-26,2,41.2956,122.6085,Liaoning,143,Western Pacific
14,45,China,2020-04-26,0,22.1667,113.55,Macau,31,Western Pacific
0,75,China,2020-04-26,0,37.2692,106.1655,Ningxia,75,Western Pacific
0,18,China,2020-04-26,0,35.7452,95.9956,Qinghai,18,Western Pacific
30,286,China,2020-04-26,3,35.1917,108.8701,Shaanxi,253,Western Pacific
12,787,China,2020-04-26,7,36.3427,118.1498,Shandong,768,Western Pacific
67,642,China,2020-04-26,7,31.201999999999998,121.4491,Shanghai,568,Western Pacific
40,197,China,2020-04-26,0,37.5777,112.2922,Shanxi,157,Western Pacific
0,561,China,2020-04-26,3,30.6171,102.7103,Sichuan,558,Western Pacific
5,190,China,2020-04-26,3,39.3054,117.323,Tianjin,182,Western Pacific
0,1,China,2020-04-26,0,31.6927,88.0924,Tibet,1,Western Pacific
0,76,China,2020-04-26,3,41.1129,85.2401,Xinjiang,73,Western Pacific
2,185,China,2020-04-26,2,24.974,101.48700000000001,Yunnan,181,Western Pacific
9,1268,China,2020-04-26,1,29.1832,120.0934,Zhejiang,1258,Western Pacific
4002,5379,Colombia,2020-04-26,244,4.5709,-74.2973,,1133,Americas
175,200,Congo (Brazzaville),2020-04-26,6,-0.228,15.8277,,19,Africa
364,442,Congo (Kinshasa),2020-04-26,28,-4.0383,21.7587,,50,Africa
425,695,Costa Rica,2020-04-26,6,9.7489,-83.7534,,264,Americas
668,1150,Cote d'Ivoire,2020-04-26,14,7.54,-5.5471,,468,Africa
