Active,Confirmed,Country/Region,Date,Deaths,Lat,Long,Province/State,Recovered,WHO Region
1399,6208,Mauritania,2020-07-27,156,21.0079,-10.9408,,4653,Africa
2,344,Mauritius,2020-07-27,10,-20.348404000000002,57.552152,,332,Africa
47657,395489,Mexico,2020-07-27,44022,23.6345,-102.5528,,303810,Americas
6252,23154,Moldova,2020-07-27,748,47.4116,28.3699,,16154,Europe
8,116,Monaco,2020-07-27,4,43.7333,7.4167,,104,Europe
67,289,Mongolia,2020-07-27,0,46.8625,103.8467,,222,Western Pacific
2039,2893,Montenegro,2020-07-27,45,42.708678000000006,19.37439,,809,Europe
4018,20887,Morocco,2020-07-27,316,31.7917,-7.0926,,16553,Eastern Mediterranean
1734,1843,Namibia,2020-07-27,8,-22.9576,18.4904,,101,Africa
4950,18752,Nepal,2020-07-27,48,28.1667,84.25,,13754,South-East Asia
14,119,Netherlands,2020-07-27,3,12.5211,-69.9683,Aruba,102,Europe
4,29,Netherlands,2020-07-27,1,12.1696,-68.99,Curacao,24,Europe
36,114,Netherlands,2020-07-27,15,18.0425,-63.0548,Sint Maarten,63,Europe
47010,53151,Netherlands,2020-07-27,6141,52.1326,5.2913,,0,Europe
21,1557,New Zealand,2020-07-27,22,-40.9006,174.886,,1514,Western Pacific
839,3439,Nicaragua,2020-07-27,108,12.865416,-85.207229,,2492,Americas
36,1132,Niger,2020-07-27,69,17.607789,8.081666,,1027,Africa
22117,41180,Nigeria,2020-07-27,860,9.082,8.6753,,18203,Africa
4183,10213,North Macedonia,2020-07-27,466,41.6086,21.7453,,5564,Europe
125,9132,Norway,2020-07-27,255,60.472,8.4689,,8752,Europe
19637,77058,Oman,2020-07-27,393,21.512583,55.92325500000001,,57028,Eastern Mediterranean
27421,274289,Pakistan,2020-07-27,5842,30.3753,69.3451,,241026,Eastern Mediterranean
25034,61442,Panama,2020-07-27,1322,8.538,-80.7821,,35086,Americas
51,62,Papua New Guinea,2020-07-27,0,-6.314993,143.95555,,11,Western Pacific
1600,4548,Paraguay,2020-07-27,43,-23.4425,-58.4438,,2905,Americas
98752,389717,Peru,2020-07-27,18418,-9.19,-75.0152,,272547,Americas
53649,82040,Philippines,2020-07-27,1945,12.879721,121.77401699999999,,26446,Western Pacific
8870,43402,Poland,2020-07-27,1676,51.9194,19.1451,,32856,Europe
13205,50299,Portugal,2020-07-27,1719,39.3999,-8.2245,,35375,Europe
3104,109597,Qatar,2020-07-27,165,25.3548,51.1839,,106328,Eastern Mediterranean
17902,45902,Romania,2020-07-27,2206,45.9432,24.9668,,25794,Europe
201097,816680,Russia,2020-07-27,13334,61.52401,105.31875600000001,,602249,Europe
899,1879,Rwanda,2020-07-27,5,-1.9403,29.8739,,975,Africa
2,24,Saint Lucia,2020-07-27,0,13.9094,-60.9789,,22,Americas
13,52,Saint Vincent and the Grenadines,2020-07-27,0,12.9843,-61.2872,,39,Americas
0,699,San Marino,2020-07-27,42,43.9424,12.4578,,657,Europe
43238,268934,Saudi Arabia,2020-07-27,2760,23.885942,45.079162,,222936,Eastern Mediterranean
3093,9764,Senegal,2020-07-27,194,14.4974,-14.4524,,6477,Africa
23598,24141,Serbia,2020-07-27,543,44.0165,21.0059,,0,Europe
75,114,Seychelles,2020-07-27,0,-4.6796,55.492,,39,Africa
5119,50838,Singapore,2020-07-27,27,1.2833,103.8333,,45692,Western Pacific
537,2181,Slovakia,2020-07-27,28,48.669,19.699,,1616,Europe
238,2087,Slovenia,2020-07-27,116,46.1512,14.9955,,1733,Europe
1560,3196,Somalia,2020-07-27,93,5.152149,46.199616,,1543,Eastern Mediterranean
170537,452529,South Africa,2020-07-27,7067,-30.5595,22.9375,,274925,Africa
93613,272421,Spain,2020-07-27,28432,40.463667,-3.7492199999999998,,150376,Europe
673,2805,Sri Lanka,2020-07-27,11,7.873054,80.77179699999998,,2121,South-East Asia
4765,11424,Sudan,2020-07-27,720,12.8628,30.2176,,5939,Eastern Mediterranean
534,1483,Suriname,2020-07-27,24,3.9193,-56.0278,,925,Americas
73695,79395,Sweden,2020-07-27,5700,60.128161,18.643501,,0,Europe
1599,34477,Switzerland,2020-07-27,1978,46.8182,8.2275,,30900,Europe
15,462,Taiwan*,2020-07-27,7,23.7,121.0,,440,Western Pacific
